Date,Price,Open,High,Low,Vol.,Change %
28/05/2020,17.08,16.46,17.14,16.39,5.32,3.75%
27/05/2020,16.46,16.22,16.50,16.16,5.01,1.51%
26/05/2020,16.22,16.38,16.49,15.97,4.38,-0.99%
25/05/2020,16.38,15.98,16.40,15.87,5.08,2.32%
24/05/2020,16.01,16.47,16.79,16.01,4.92,-2.83%
23/05/2020,16.47,16.59,16.84,16.33,4.93,-0.74%
22/05/2020,16.59,16.08,16.89,15.92,5.33,3.16%
21/05/2020,16.09,16.90,17.05,15.76,4.81,-4.79%
20/05/2020,16.90,17.20,17.33,16.55,5.21,-1.78%
19/05/2020,17.20,16.63,17.23,16.31,6.67,3.43%
18/05/2020,16.63,16.29,16.87,16.20,6.39,2.13%
17/05/2020,16.29,16.05,16.51,16.00,5.49,1.45%
16/05/2020,16.05,15.71,16.27,15.58,6.45,2.16%
15/05/2020,15.71,16.36,16.53,15.56,6.04,-4.10%
14/05/2020,16.39,16.12,16.64,15.28,7.31,1.68%
13/05/2020,16.11,15.76,16.31,14.97,6.71,2.25%
12/05/2020,15.76,15.09,16.23,14.21,7.37,4.21%
11/05/2020,15.12,15.28,15.56,14.05,8.35,-1.03%
10/05/2020,15.28,16.81,16.81,14.03,9.58,-9.08%
09/05/2020,16.81,17.14,17.49,16.81,6.06,-1.94%
08/05/2020,17.14,16.99,17.43,16.83,5.51,0.85%
07/05/2020,17.00,16.37,17.24,16.20,6.91,3.82%
06/05/2020,16.37,16.86,17.14,16.34,5.72,-2.89%
05/05/2020,16.86,17.02,17.31,16.58,5.69,-0.97%
04/05/2020,17.02,17.11,17.30,16.31,5.97,-0.48%
03/05/2020,17.11,17.52,17.81,16.86,5.64,-2.32%
02/05/2020,17.51,17.44,17.58,17.27,6.12,0.43%
01/05/2020,17.44,17.00,17.90,16.91,7.22,2.56%
30/04/2020,17.00,17.44,18.20,16.49,8.82,-2.47%
29/04/2020,17.43,16.32,17.54,16.28,8.18,6.80%
28/04/2020,16.32,16.49,16.54,16.14,6.13,-0.99%
27/04/2020,16.49,16.36,16.66,16.07,7.52,0.76%
26/04/2020,16.36,16.21,16.48,16.09,6.66,0.84%
25/04/2020,16.22,15.91,16.46,15.72,6.32,1.95%
24/04/2020,15.91,16.02,16.34,15.70,7.75,-0.63%
23/04/2020,16.02,15.70,16.41,15.40,9.43,2.03%
22/04/2020,15.70,15.10,15.84,14.91,8.33,3.94%
21/04/2020,15.10,14.98,15.48,14.75,7.61,0.92%
20/04/2020,14.96,16.06,16.66,14.87,8.00,-6.84%
19/04/2020,16.06,16.62,16.70,15.86,7.23,-3.36%
18/04/2020,16.62,15.63,16.83,12.85,9.24,6.33%
17/04/2020,15.63,15.64,15.94,12.96,6.10,0.00%
16/04/2020,15.63,14.57,15.75,12.96,9.27,7.26%
15/04/2020,14.57,15.60,15.92,14.50,8.79,-6.59%
14/04/2020,15.60,15.04,15.96,14.78,9.84,3.72%
13/04/2020,15.04,14.28,15.10,13.65,8.99,5.26%
12/04/2020,14.29,13.81,14.83,13.65,9.12,3.48%
11/04/2020,13.81,13.72,14.12,13.54,7.74,0.64%
10/04/2020,13.72,15.01,15.07,13.49,8.57,-8.61%
09/04/2020,15.01,15.10,15.22,14.69,9.52,-0.55%
08/04/2020,15.09,14.74,15.36,14.56,8.18,2.34%
07/04/2020,14.75,15.21,15.50,14.26,9.53,-2.89%
06/04/2020,15.19,13.69,15.22,13.63,10.71,10.97%
05/04/2020,13.69,13.76,13.96,13.41,9.29,-0.52%
04/04/2020,13.76,13.36,14.01,13.18,9.73,2.99%
03/04/2020,13.36,13.03,13.58,12.91,9.59,2.57%
02/04/2020,13.02,12.72,13.67,12.54,10.32,2.45%
01/04/2020,12.71,12.55,12.74,11.98,8.57,1.31%
31/03/2020,12.55,12.16,12.72,12.10,9.56,3.21%
30/03/2020,12.16,11.30,12.40,11.26,8.22,7.62%
29/03/2020,11.30,12.20,12.29,11.30,5.36,-7.25%
28/03/2020,12.18,12.34,12.38,11.65,6.11,-1.21%
27/03/2020,12.33,13.21,13.37,12.24,6.38,-6.64%
26/03/2020,13.21,12.34,13.27,12.19,7.03,7.02%
25/03/2020,12.34,12.35,12.70,11.61,7.60,0.00%
24/03/2020,12.34,12.19,12.56,11.37,9.24,1.24%
23/03/2020,12.19,11.15,12.49,10.84,10.85,9.24%
22/03/2020,11.16,12.11,12.48,11.05,10.86,-7.84%
21/03/2020,12.11,11.94,12.45,11.31,12.14,1.46%
20/03/2020,11.94,12.30,13.66,10.50,14.04,-2.95%
